Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,09/09/00,St Truiden,Mouscron,1,4,A,1,2,A,2.7,3.15,2.15,2.8,3,2.1,2.6,3.25,2.3,2.5,3.3,2.3
B1,09/09/00,Westerlo,Gent,0,0,D,0,0,D,2.05,3.5,2.9,2.2,3,2.6,2.2,3.25,2.75,2.15,3.4,2.65
B1,10/09/00,Aalst,Lokeren,2,2,D,2,1,H,2.35,3.15,2.5,2.3,3.1,2.3,2.4,3.2,2.5,2.4,3.35,2.35
B1,10/09/00,Club Brugge,Louvieroise,3,0,H,1,0,H,1.15,5.3,10,1.15,5.5,11,1.14,5.5,13,1.15,6,10
B1,10/09/00,Harelbeke,Germinal,3,0,H,2,0,H,2.25,3.2,2.55,2.3,3.1,2.3,2.38,3.3,2.5,2.35,3.35,2.4
B1,16/09/00,Gent,Beveren,5,0,H,3,0,H,1.45,3.7,5.5,1.35,3.8,6.2,1.44,3.75,5.5,1.45,3.8,5.4
B1,16/09/00,Anderlecht,Harelbeke,4,3,H,2,1,H,1.15,5.75,9.5,1.15,5.5,11,1.2,5.25,9.5,1.2,5.5,8
B1,16/09/00,Louvieroise,Mechelen,2,2,D,0,0,D,2.1,3.3,2.8,2.2,3,2.6,2.2,3.25,2.75,2.15,3.35,2.65
B1,16/09/00,Lierse,Antwerp,4,1,H,2,1,H,1.45,3.6,5.5,1.3,4,7,1.5,3.6,5.5,1.5,3.7,5
B1,16/09/00,Lokeren,St Truiden,2,1,H,0,0,D,1.6,3.5,4.4,1.5,3.4,4.7,1.6,3.6,4.5,1.6,3.6,4.25
B1,16/09/00,Mouscron,Westerlo,3,5,A,1,3,A,1.75,3.5,3.8,1.6,3.3,4,1.7,3.5,4,1.7,3.45,3.8
B1,16/09/00,Standard,Aalst,7,0,H,4,0,H,1.2,5.4,9,1.25,4.3,8,1.25,5,8,1.2,5.3,8.5
B1,17/09/00,Germinal,Club Brugge,2,3,A,0,1,A,3.6,3.5,1.8,3.2,3.1,1.85,3.5,3.3,1.83,3.1,3.3,1.95
B1,17/09/00,Genk,Charleroi,2,1,H,0,1,A,2,3.35,3.1,2.1,3,2.8,1.9,3.4,3.25,1.9,3.4,3.15
B1,22/09/00,Anderlecht,Lierse,5,2,H,2,1,H,1.35,4,6.5,1.4,3.6,5.5,,,,1.35,4.1,6.5
B1,23/09/00,Beveren,Mouscron,0,0,D,0,0,D,2.75,3.4,2.15,3.1,3,1.9,2.75,3.4,2.1,2.6,3.35,2.2
B1,23/09/00,Charleroi,Gent,4,3,H,2,0,H,2.2,3.5,2.5,2.2,3,2.6,2.2,3.3,2.63,2.2,3.35,2.6
B1,23/09/00,Mechelen,Germinal,2,3,A,0,0,D,2.35,3.3,2.45,2.3,3,2.4,2.4,3.3,2.4,2.3,3.35,2.45
B1,23/09/00,St Truiden,Standard,1,1,D,0,1,A,3.2,3.45,1.9,3.2,3.1,1.85,3.3,3.3,1.9,3.2,3.5,1.85
B1,23/09/00,Westerlo,Lokeren,1,1,D,0,0,D,1.66,3.4,4,1.7,3.1,3.8,1.7,3.4,4,1.65,3.5,4.1
B1,24/09/00,Aalst,Louvieroise,1,0,H,0,0,D,2,3.15,3.4,1.9,2.9,3.2,1.91,3.3,3.2,2,3.4,2.9
B1,24/09/00,Harelbeke,Club Brugge,0,6,A,0,2,A,4.5,3.8,1.55,4.7,3.4,1.5,4.75,3.5,1.57,4.25,3.6,1.6
B1,29/09/00,Mouscron,Charleroi,3,0,H,2,0,H,1.65,3.7,4.2,1.75,3.1,3.6,1.85,3.3,3.5,1.9,3.4,3.15
B1,30/09/00,Germinal,Aalst,2,0,H,0,0,D,1.35,3.8,7,1.4,3.6,5.5,,,,1.35,3.9,7
B1,30/09/00,Louvieroise,St Truiden,1,0,H,1,0,H,2.1,3.2,3,2.1,3,2.8,,,,2.2,3.3,2.65
B1,30/09/00,Lierse,Harelbeke,4,1,H,2,0,H,1.31,4.2,7,1.3,4,7,,,,1.35,4.1,6.5
B1,30/09/00,Lokeren,Beveren,1,1,D,1,1,D,1.6,3.66,4.4,1.45,3.5,5,,,,1.55,3.75,4.4
B1,30/09/00,Standard,Westerlo,5,3,H,4,1,H,1.6,3.6,4.2,1.6,3.3,4,,,,1.55,3.75,4.4
B1,01/10/00,Gent,Antwerp,4,2,H,2,2,D,1.35,4,6,1.3,4,7,1.4,3.75,6.5,1.35,4.1,6.5
B1,01/10/00,Club Brugge,Mechelen,5,2,H,2,1,H,1.13,6,12,1.1,7,14,1.15,5.5,11,1.15,6,10
B1,01/10/00,Genk,Anderlecht,1,1,D,1,1,D,3.3,3.5,1.85,3.2,3.1,1.85,3.4,3.25,1.91,3,3.4,2
B1,13/10/00,Lierse,Genk,1,1,D,0,0,D,1.7,3.9,3.6,1.6,3.3,4,1.73,3.5,3.75,1.7,3.55,3.7
B1,14/10/00,Anderlecht,Gent,2,1,H,2,1,H,1.3,4.5,6.2,1.3,4,7,1.4,3.6,7,1.35,4,6.7
B1,14/10/00,Antwerp,Mouscron,1,0,H,0,0,D,3.4,3.2,1.9,3.3,3.1,1.8,3,3.25,2,3.15,3.5,1.85
B1,14/10/00,Beveren,Standard,0,3,A,0,2,A,3.3,3.4,1.85,3.4,3.2,1.75,3.2,3.4,1.91,3.25,3.45,1.85
B1,14/10/00,Charleroi,Lokeren,1,0,H,0,0,D,1.67,3.4,4.2,1.7,3.2,3.6,1.67,3.5,4,1.65,3.55,4
B1,14/10/00,St Truiden,Germinal,3,2,H,2,0,H,2.5,3.3,2.35,2.35,3,2.35,2.5,3.3,2.3,2.5,3.25,2.3
B1,15/10/00,Aalst,Club Brugge,0,2,A,0,0,D,7,4,1.35,5.5,3.6,1.4,6.5,3.75,1.4,6,3.9,1.4
B1,15/10/00,Harelbeke,Mechelen,1,0,H,1,0,H,1.9,3.1,3.6,1.75,3.1,3.6,1.8,3.4,3.5,1.9,3.45,3.1
B1,15/10/00,Westerlo,Louvieroise,2,1,H,1,1,D,1.37,3.8,7,1.35,3.8,6.2,1.4,3.75,6.5,1.35,4,6.7
B1,20/10/00,Standard,Charleroi,4,0,H,2,0,H,1.5,3.6,5.5,1.6,3.3,4,1.53,3.6,5,1.5,3.7,5
B1,21/10/00,Gent,Lierse,2,3,A,2,1,H,2,3.15,3.25,1.7,3.2,3.6,1.9,3.3,3.3,1.8,3.5,3.35
B1,21/10/00,Germinal,Westerlo,3,1,H,1,0,H,2.2,3,2.9,2,3,2.9,2.1,3.5,2.7,2.15,3.3,2.7
B1,21/10/00,Genk,Harelbeke,4,0,H,2,0,H,1.47,3.5,5.5,1.45,3.5,5,1.45,3.75,5.6,1.4,4.1,5.5
B1,21/10/00,Louvieroise,Beveren,2,3,A,0,2,A,2.15,3.1,2.9,2,3,2.9,2.2,3.25,2.7,2.15,3.3,2.7
B1,21/10/00,Lokeren,Antwerp,0,1,A,0,0,D,1.51,3.5,5,1.5,3.4,4.7,1.57,3.5,4.75,1.6,3.55,4.3
B1,21/10/00,Mouscron,Anderlecht,1,2,A,0,0,D,3.15,3,2.1,2.8,3,2.1,2.75,3.4,2.1,3.1,3.45,1.9
